address,vote,name
0x4ed2f7eadd13cdc339b67f371610bf26224e4b98,29,康师傅
0x42b81011a367d3c7f4e4b570fadd51209c93f287,27,Alex
0x47a7202a726324788609003549675f1dbc645b07,21,T1NG
0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,28,StephanAnn
0x89c60c01f2e1d1b233253596bf1c2386bdfeb898,26,Arjun
0x796ac058028f19974a4f8256f6b30fedcc96537d,26,一个阿车
0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,27,木南Lynna
0x41d2ce62cd81d9ccd5c6890dcb44267b26165f85,27,xsseedao
0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,29,owenzhang
0xb8aee482305b7b219704350786fce47847cec996,28,lizi
0x82944b68bb92fa11764041aa61204b5fdc85f429,24,Frozen
0xdafe3083bd4865ade8fea183c0e058a585bab68b,29,Hal
0xd85c413da833cebd8338138ccefa04979df70e8e,27,WCY
0x597f0fdbb96485cd258777248052ff0e4781fe4c,27,tovarishch.eth
0x332345477db00239f88ca2eb015b159750cf3c44,14,Forever121
0x27b503fd677dd889ea3e7804df492d2d809e6052,25,shawnw
0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,24,RebeccaWONG
0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,28,VincentZZH
0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,27,Jomosis
0x3e2141d27c11da046e443c53441ed53b390cb15a,23,youngSeeDAO
0xaaf2f3a917e5ac907efd9c0f3fd752cc9d66dc08,9,AshleyJin
0x18e0ff7c3a14cd4d7acbfad41016edf20257a02a,28,Ines
0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,26,jackfe
0x902b13e46305e3ae10f70871c6d0bca9e5446b07,27,古忆Stalla
0x78f625a65fc316d32d98d249b698fb509a6d98f2,26,slothrun
0x4d6654beec5942aee8e3102528a58fb34a0f1b19,26,GGGrace
0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,24,Queeny
0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,17,Thomas.dh
0x8c913aec7443fe2018639133398955e0e17fb0c1,21,baiyu
0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,28,Fivea
0x0c05aacc260d5ebfccdd9b06ab3633120cbe9676,26,backdoor
0x290aa5081d6298c181949946893876a1b76bf144,27,Jialin
0x6bd68d667eccea663b2a2bee1311f7ad6c817602,24,wa1t0n
0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,28,CyberCaf
0xb8abe31a6caf1217d632190559b2c1fd909178ec,25,SuanNai
0x4ffb83a8344f33453fbebe5e126534407ceb32f5,26,Hsiu
0xfed714ab05fbbc6f964653616c0565033a4da0ef,19,江滚滚
0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,13,Joannacool
0xd47aec165d7469e266f650a049c973ec95c706f6,18,Seaborn
0x10ea167893cb51500ec829222e3d17a968feb650,8,HenryL
0x4a0e5c833cd6c38eac36ea5d83b9d38075ae64fd,7,jessicazhou
0x3b75b768dd0dc2f71ac0bca8713ed5e9c82cfcce,2,冯光能
0xc70025f24be879be9258ac41932bae873bf7ff0a,4,biao
0x3caee6446cbbb73569ac230939b4310dea505fa9,1,Darcy
0x45b5e0299401f38d7d18bdde102ae62cdff86429,1,saku
0x4B162DBa01943Bd8CD8af668bE72fB769999aC83,1,TonyWang
0xfde65ea7a7af9b4fecd585db65e0b0394a2a55a7,1,Welten
0x2b40590f525b4f552b0efb85333877b4a0769400,1,zhoumo
