address,vote,name
0x42b81011a367d3c7f4e4b570fadd51209c93f287,37,Alex
0x8c913aec7443fe2018639133398955e0e17fb0c1,32,baiyu
0xc341683d1ee57b13ab90a1fc00f38dc6f7afdd14,35,AlanWei
0x27b503fd677dd889ea3e7804df492d2d809e6052,32,shawnw
0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,40,CyberCaf
0x6c7c73aef66836a1eeb524376e13e71cfb52d3ec,17,王富贵
0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,46,owenzhang
0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,38,Thomas.dh
0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,33,VincentZZH
0x52ff0010d4058bb726725ad76f542c53033d67a1,46,pm3
0xb8aee482305b7b219704350786fce47847cec996,49,lizi
0xdafe3083bd4865ade8fea183c0e058a585bab68b,40,Hal
0xb8abe31a6caf1217d632190559b2c1fd909178ec,8,SuanNai
0x4ffb83a8344f33453fbebe5e126534407ceb32f5,37,Hsiu
0x290aa5081d6298c181949946893876a1b76bf144,34,Jialin
0x7d53ba1d70a66d572a90e3e80ad4253769340ee7,41,木南Lynna
0x1b76b011c0a1e03896bfc8923be228e430bb9049,37,Nechi
0x47a7202a726324788609003549675f1dbc645b07,31,T1NG
0x902b13e46305e3ae10f70871c6d0bca9e5446b07,38,古忆Stalla
0x332345477db00239f88ca2eb015b159750cf3c44,21,Forever121
0x5b228fcb60a95f7e749e00c4b88154fc17e706dd,45,WenQian
0x82944b68bb92fa11764041aa61204b5fdc85f429,34,Frozen
0xd85c413da833cebd8338138ccefa04979df70e8e,29,WCY
0x4564d5a8bb409272f1fb4ae4c8b45fc0eafd709d,43,StephanAnn
0x098f2c764f892c24b9abb9656761eb5946370b35,47,ShawnaZ
0x4d4b78d37090ed3e1eae6779ba2c3d6728052915,24,EvilAmanda
0x3f13c31474141f6912eed296220c0996c90253d2,31,ines2024
0x6098E17a2945d2858368329e03c0a4A64A549814,23,Guest#7071825519
0x9d6b1a15d476bfbbdf4274ef6b405086cd7258f9,12,Joannacool
0xaaf2f3a917e5ac907efd9c0f3fd752cc9d66dc08,3,AshleyJin
