51521,2967,9476,11
51521,2967,9477,2
51521,2967,9478,6
51823,2979,9521,21
51823,2979,9522,0
51823,2979,9523,1
51945,2982,9529,11
51945,2982,9530,0
51945,2982,9531,6
52455,3002,9591,17
52455,3002,9592,1
52455,3002,9593,0
52530,3004,9600,3
52530,3004,9601,2
52530,3004,9602,10
52530,3004,9603,3
52133,2990,9554,0
52133,2990,9555,0
52133,2990,9556,0
52133,2990,9557,1
52133,2990,9558,13
52133,2990,9559,1
52106,2988,9545,17
52106,2988,9546,0
52106,2988,9547,4
51933,2981,9526,14
51933,2981,9527,0
51933,2981,9528,3
51726,2975,9501,0
51726,2975,9502,0
51726,2975,9503,0
51726,2975,9504,2
51726,2975,9505,8
51726,2975,9506,1
51523,2968,9479,15
51523,2968,9480,9
51523,2968,9481,0
51523,2968,9482,0
51187,2917,9353,4
51187,2917,9354,0
51187,2917,9355,9
50814,2737,8719,23
50814,2737,8720,6
50814,2738,8721,24
50814,2738,8722,6
50814,2739,8723,23
50814,2739,8724,6
51032,2878,9240,10
51032,2878,9241,17
51033,2879,9242,22
51033,2879,9243,6
51035,2883,9250,27
51035,2883,9251,0
51035,2884,9252,27
51035,2884,9253,0
51035,2885,9254,26
51035,2885,9255,2
51035,2886,9256,26
51035,2886,9257,1
51035,2887,9258,26
51035,2887,9259,1
51035,2888,9260,23
51035,2888,9261,4
51035,2888,9262,1
51035,2889,9263,26
51035,2889,9264,2
51035,2890,9265,24
51035,2890,9266,3
51031,2877,9238,24
51031,2877,9239,4
50846,2753,8770,28
50846,2753,8771,0
50817,2740,8725,27
50817,2740,8726,2
50812,2735,8711,15
50812,2735,8712,5
50812,2735,8713,5
50812,2735,8714,4
50812,2736,8715,20
50812,2736,8716,4
50812,2736,8717,4
50812,2736,8718,1
50800,2726,8668,0
50800,2726,8669,0
50800,2726,8670,5
50800,2726,8671,19
50800,2726,8672,4
50800,2727,8673,0
50800,2727,8674,0
50800,2727,8675,2
50800,2727,8676,21
50800,2727,8677,5
50800,2728,8678,0
50800,2728,8679,0
50800,2728,8680,2
50800,2728,8681,12
50800,2728,8682,14
50800,2729,8683,0
50800,2729,8684,0
50800,2729,8685,5
50800,2729,8686,20
50800,2729,8687,3
50800,2730,8688,0
50800,2730,8689,0
50800,2730,8690,0
50800,2730,8691,23
50800,2730,8692,5
50800,2731,8693,0
50800,2731,8694,0
50800,2731,8695,0
50800,2731,8696,13
50800,2731,8697,15
50800,2732,8698,0
50800,2732,8699,0
50800,2732,8700,0
50800,2732,8701,23
50800,2732,8702,5
50800,2733,8703,0
50800,2733,8704,0
50800,2733,8705,1
50800,2733,8706,23
50800,2733,8707,4
